pid,pub_type,pub_date,title,authors,doi,ark,journal,collaboration
"articles:12763","article","2013-07-01","Organic matter inputs shift soil enzyme activity and allocation patterns in a wet tropical forest","Weintraub, S.;Wieder, W.;et al","10.1007/s10533-012-9812-2","ark:/85065/d7n58n87","Biogeochemistry","UCAR and University"
"articles:12764","article","2013-07-01","Impacts of human alteration of the nitrogen cycle in the US on radiative forcing","Pinder, R.;Bettez, N.;et al","10.1007/s10533-012-9787-z","ark:/85065/d7hd7wjh","Biogeochemistry","UCAR and Other"
"articles:12765","article","2013-07-01","Twenty-first-century compatible CO₂emissions and airborne fraction simulated by CMIP5 Earth System Models under four representative concentration pathways","Jones, C.;Robertson, E.;et al","10.1175/JCLI-D-12-00554.1","ark:/85065/d7cn74sq","Journal of Climate","UCAR, University and Other"
"articles:12766","article","2013-07-01","Importance of regional climate model grid spacing for the simulation of heavy precipitation in the Colorado headwaters","Prein, A.;Holland, G.;et al","10.1175/JCLI-D-12-00727.1","ark:/85065/d77w6d2d","Journal of Climate","UCAR, University and Other"
"articles:12768","article","2013-08-01","Intensive measurements of gas, water, and energy exchange between vegetation and troposphere during the MONTES campaign in a vegetation gradient from short semi-desertic shrublands to tall wet temperate forests in the NW Mediterranean Basin","Peñuelas, J.;Guenther, A.;et al","10.1016/j.atmosenv.2013.04.032","ark:/85065/d70c4wnq","Atmospheric Environment","UCAR, University and Other"
"articles:12769","article","2013-09-01","A numerical study of the impact of climate and emission changes on surface ozone over South China in autumn time in 2000-2050","Liu, Q.;Lam, K.;et al","10.1016/j.atmosenv.2013.01.030","ark:/85065/d7vq33jp","Atmospheric Environment","UCAR and University"
"articles:12771","article","2013-07-01","Thermodynamic environments of deep convection in Atlantic tropical disturbances","Davis, C.;Ahijevych, D.","10.1175/JAS-D-12-0278.1","ark:/85065/d7m61m4d","Journal of the Atmospheric Sciences","UCAR only"
"articles:12772","article","2013-07-01","The impact of gradient wind imbalance on potential intensity of tropical cyclones in an unbalanced slab boundary layer model","Frisius, T.;Schönemann, D.;et al","10.1175/JAS-D-12-0160.1","ark:/85065/d7gf0vc7","Journal of the Atmospheric Sciences","UCAR and University"
"articles:12775","article","2013-07-01","Inverse cascades in turbulence and the case of rotating flows","Pouquet, A.;Sen, A.;et al","10.1088/0031-8949/2013/T155/014032","ark:/85065/d7348m72","Physica Scripta","UCAR, University and Other"
"articles:12776","article","2013-07-01","Passive scalar cascades in rotating helical and non-helical flows","Imazio, P.;Mininni, P.","10.1088/0031-8949/2013/T155/014037","ark:/85065/d7zg6t36","Physica Scripta","UCAR and University"
"articles:12778","article","2013-06-19","Limited influence of dry deposition of semivolatile organic vapors on secondary organic aerosol formation in the urban plume","Hodzic, A.;Madronich, S.;et al","10.1002/grl.50611","ark:/85065/d7pz59pk","Geophysical Research Letters","UCAR and University"
"articles:12779","article","2013-06-23","The path integral formulation of climate dynamics","Navarra, A.;Tribbia, J.;et al","","ark:/85065/d7k64jxq","PLoS One","UCAR and Other"
"articles:12780","article","2013-06-28","Influence of El Niño-Southern Oscillation in the mesosphere","Li, T.;Calvo Fernandez, N.;et al","10.1002/grl.50598","ark:/85065/d7ff3t6d","Geophysical Research Letters","UCAR, University and Other"
"articles:12783","article","2013-06-27","Microphysical implications of cloud-precipitation covariance derived from satellite remote sensing","Lebsock, M.;Morrison, H.;et al","10.1002/jgrd.50347","ark:/85065/d72808g3","Journal of Geophysical Research-Atmospheres","UCAR and University"
"articles:12784","article","2013-06-27","Validation of MOPITT Version 5 thermal-infrared, near-infrared, and multispectral carbon monoxide profile retrievals for 2000-2011","Deeter, M.;Martinez-Alonso, S.;et al","10.1002/jgrd.50272","ark:/85065/d7xg9s1q","Journal of Geophysical Research-Atmospheres","UCAR and University"
"articles:12785","article","2013-06-27","Probing into the impact of 3DVAR assimilation of surface PM₁₀ observations over China using process analysis","Jiang, Z.;Liu, Z.;et al","10.1002/jgrd.50495","ark:/85065/d7sq918x","Journal of Geophysical Research-Atmospheres","UCAR and University"
"articles:12786","article","2013-08-01","Measurements of vertical and horizontal distributions of ozone over Beijing from 2007 to 2010","Chen, P.;Quan, J.;et al","10.1016/j.atmosenv.2013.03.026","ark:/85065/d7nz88hr","Atmospheric Environment","UCAR, University and Other"
"articles:12788","article","2013-07-01","High concentrations of biological aerosol particles and ice nuclei during and after rain","Huffman, J.;Prenni, A.;et al","10.5194/acp-13-6151-2013","ark:/85065/d7df6s21","Atmospheric Chemistry and Physics","UCAR, University and Other"
"articles:12789","article","2013-08-19","Using wind setdown and storm surge on Lake Erie to calibrate the air-sea drag coefficient","Drews, C.","10.1371/journal.pone.0072510","ark:/85065/d78p61dk","PLoS One","UCAR only"
"articles:12790","article","2013-03-01","Boundary conditions for limited area models based on the shallow water equations","Bousquet, A.;Petcu, M.;et al","10.4208/cicp.070312.061112a","ark:/85065/d751402f","Communications in Computational Physics","UCAR and University"
"articles:12791","article","2013-08-01","Evaluation of the surface climatology over the conterminous United States in the North American Regional Climate Change Assessment Program Hindcast Experiment using a regional climate model evaluation system","Kim, J.;Waliser, D.;et al","10.1175/JCLI-D-12-00452.1","ark:/85065/d71837c5","Journal of Climate","UCAR, University and Other"
"articles:12792","article","2013-08-01","Carbon-concentration and carbon-climate feedbacks in CMIP5 Earth System Models","Arora, V.;Boer, G.;et al","10.1175/JCLI-D-12-00494.1","ark:/85065/d7wh2qv1","Journal of Climate","UCAR, University and Other"
"articles:12794","article","2013-08-01","Diagnosing present and future permafrost from climate models","Slater, A.;Lawrence, D.","10.1175/JCLI-D-12-00341.1","ark:/85065/d7n017c7","Journal of Climate","UCAR and University"
"articles:12795","article","2013-07-01","Sign cancellation and scaling in the vertical component of velocity and vorticity in rotating turbulence","Horne, E.;Mininni, P.","10.1103/PhysRevE.88.013011","ark:/85065/d7h70gpz","Physical Review E","UCAR, University and Other"
"articles:12796","article","2013-07-01","Maximum entropy production and time varying problems: The seasonal cycle in a conceptual climate model","Paillard, D.;Herbert, C.","10.3390/e15072846","ark:/85065/d7cf9r0j","Entropy","UCAR and Other"
"articles:12797","article","2013-08-01","The impact of precipitation type discrimination on hydrologic simulation: Rain-snow partitioning derived from HMT-west radar-detected brightband height versus surface temperature data","Mizukami, N.;Koren, V.;et al","10.1175/JHM-D-12-035.1","ark:/85065/d77s7pm7","Journal of Hydrometeorology","UCAR, University and Other"
"articles:12798","article","2013-06-17","Insights into mechanisms governing forest carbon response to nitrogen deposition: A model–data comparison using observed responses to nitrogen addition","Thomas, R.;Bonan, G.;et al","10.5194/bg-10-3869-2013","ark:/85065/d7416xx8","Biogeosciences","UCAR and University"
"articles:12799","article","2013-08-15","The continuum of hydroclimate variability in Western North America during the last millennium","Ault, T.;Cole, J.;et al","10.1175/JCLI-D-11-00732.1","ark:/85065/d708665w","Journal of Climate","UCAR, University and Other"
"articles:12801","article","2013-08-01","Sensitivities and mechanisms of the zonal mean atmospheric circulation response to tropical warming","Sun, L.;Chen, G.;et al","10.1175/JAS-D-12-0298.1","ark:/85065/d7qr4xzg","Journal of the Atmospheric Sciences","UCAR and University"
"articles:12802","article","2013-07-01","Expert assessment of vulnerability of permafrost carbon to climate change","Schuur, E.;Abbott, B.;et al","10.1007/s10584-013-0730-7","ark:/85065/d7m0469r","Climatic Change","UCAR, University and Other"
"articles:12803","article","2013-05-01","Intermittency in Hall-magnetohydrodynamics with a strong guide field","Imazio, P.;Martin, L.;et al","10.1063/1.4807378","ark:/85065/d7g73fmg","Physics of Plasmas","UCAR and University"
"articles:12804","article","2013-09-01","Humic substances may control dissolved iron distributions in the global ocean: Implications from numerical simulations","Misumi, K.;Lindsay, K.;et al","10.1002/gbc.20039","ark:/85065/d7bk1d7k","Global Biogeochemical Cycles","UCAR, University and Other"
"articles:12810","article","2013-08-16","Climate model response from the Geoengineering Model Intercomparison Project (GeoMIP)","Kravitz, B.;Caldeira, K.;et al","10.1002/jgrd.50646","ark:/85065/d7k35vhd","Journal of Geophysical Research-Atmospheres","UCAR, University and Other"
"articles:12811","article","2013-09-01","Climate change projections in CESM1(CAM5) compared to CCSM4","Meehl, G.;Washington, W.;et al","10.1175/JCLI-D-12-00572.1","ark:/85065/d7fb53th","Journal of Climate","UCAR only"
"articles:12812","article","2013-09-01","Parameterization of wind farms in climate models","Fitch, A.;Olson, J.;et al","10.1175/JCLI-D-12-00376.1","ark:/85065/d79k4c4n","Journal of Climate","UCAR, University and Other"
"articles:12813","article","2013-09-01","A comparison between gravity wave momentum fluxes in observations and climate models","Geller, M.;Alexander, M.;et al","10.1175/JCLI-D-12-00545.1","ark:/85065/d75t3mcg","Journal of Climate","UCAR, University and Other"
"articles:12814","article","2013-09-01","Additional invariants and statistical equilibria for the 2D euler equations on a spherical domain","Herbert, C.","10.1007/s10955-013-0809-6","ark:/85065/d7222vn2","Journal of Statistical Physics","UCAR only"
"articles:12815","article","2013-07-01","A decade of Predictions in Ungauged Basins (PUB) -- A review","Hrachowitz, M.;Savenijea, H.;et al","10.1080/02626667.2013.803183","ark:/85065/d7x92c55","Hydrological Sciences Journal","UCAR, University and Other"
"articles:12817","article","2013-10-01","Global patterns of nitrogen limitation: Confronting two global biogeochemical models with observations","Thomas, R.;Zaehle, S.;et al","10.1111/gcb.12281","ark:/85065/d7nv9k3f","Global Change Biology","UCAR, University and Other"
"articles:12818","article","2013-08-20","Multi-model mean nitrogen and sulfur deposition from the Atmospheric Chemistry and Climate Model Intercomparison Project (ACCMIP): Evaluation of historical and projected future changes","Lamarque, J.;Dentener, F.;et al","10.5194/acp-13-7997-2013","ark:/85065/d7j38tfx","Atmospheric Chemistry and Physics","UCAR, University and Other"
"articles:12820","article","2013-08-27","Modeling microphysical effects of entrainment in clouds observed during EUCAARI-IMPACT field campaign","Jarecka, D.;Pawlowska, H.;et al","10.5194/acp-13-8489-2013","ark:/85065/d78k79zd","Atmospheric Chemistry and Physics","UCAR and University"
"articles:12821","article","2013-08-27","Turbulent collision-coalescence in maritime shallow convection","Wyszogrodzki, A.;Grabowski, W.;et al","10.5194/acp-13-8471-2013","ark:/85065/d74t6k73","Atmospheric Chemistry and Physics","UCAR and University"
"articles:12823","article","2013-09-01","Evaluation of global atmospheric solvers using extensions of the Jablonowski and Williamson Baroclinic Wave Test Case","Park, S.;Skamarock, W.;et al","10.1175/MWR-D-12-00096.1","ark:/85065/d7w95b27","Monthly Weather Review","UCAR only"
"articles:12824","article","2013-09-01","Variation of East Asian monsoon precipitation during the past 21 k.y. and potential CO₂ forcing","Lu, H.;Yi, S.;et al","10.1130/G34488.1","ark:/85065/d7rn38rt","Geology","UCAR, University and Other"
"articles:12825","article","2013-09-01","Homogeneity of the subgrid-scale turbulent mixing in large-eddy simulation of shallow convection","Jarecka, D.;Grabowski, W.;et al","10.1175/JAS-D-13-042.1","ark:/85065/d7mw2j2z","Journal of the Atmospheric Sciences","UCAR and University"
"articles:12830","article","2013-07-28","The rarity of absent growth rings in Northern Hemisphere forests outside the American Southwest","St. George, S.;Ault, T.;et al","10.1002/grl.50743","ark:/85065/d7028sf6","Geophysical Research Letters","UCAR and University"
"articles:12833","article","2013-06-01","Effect of trends of middle atmosphere gases on the mesosphere and thermosphere","Qian, L.;Marsh, D.;et al","10.1002/jgra.50354","ark:/85065/d7kw5gx5","Journal of Geophysical Research-Space Physics","UCAR and University"
"articles:12834","article","2013-05-16","Could a future “Grand Solar Minimum” like the Maunder Minimum stop global warming?","Meehl, G.;Arblaster, J.;et al","10.1002/grl.50361","ark:/85065/d7g44r5q","Geophysical Research Letters","UCAR only"
"articles:12835","article","2013-08-27","A global atmospheric model of meteoric iron","Feng, W.;Marsh, D.;et al","10.1002/jgrd.50708","ark:/85065/d7bc40dx","Journal of Geophysical Research-Atmospheres","UCAR, University and Other"
"articles:12836","article","2013-10-01","Climate change from 1850 to 2005 simulated in CESM1(WACCM)","Marsh, D.;Mills, M.;et al","10.1175/JCLI-D-12-00558.1","ark:/85065/d76m37p6","Journal of Climate","UCAR and University"
"articles:12837","article","2013-11-01","A novel scheme for parameterizing aerosol processing in warm clouds","Lebo, Z.;Morrison, H.","10.1175/JAS-D-13-045.1","ark:/85065/d72v2h0b","Journal of the Atmospheric Sciences","UCAR only"
"articles:12838","article","2011-01-01","Discussion of: A statistical analysis of multiple temperature proxies: Are reconstructions of surface temperatures over the last 1000 years reliable?","Nychka, D.;Li, B.","10.1214/10-AOAS398K","ark:/85065/d7z60px8","Annals of Applied Statistics","UCAR only"
"articles:12839","article","2012-10-01","Exact fast computation of band depth for large functional datasets: How quickly can one million curves be ranked?","Sun, Y.;Genton, M.;et al","10.1002/sta4.8","ark:/85065/d7td9z7v","Stat: The ISI's Journal for the Rapid Dissemination of Statistics Research","UCAR and University"
"articles:12840","article","2013-07-15","Mid-pliocene Atlantic Meridional Overturning Circulation not unlike modern","Zhang, Z.;Nisancioglu, K.;et al","10.5194/cp-9-1495-2013","ark:/85065/d7pn96hh","Climate of the Past","UCAR, University and Other"
"articles:12844","article","2013-08-01","LGM permafrost distribution: How well can the latest PMIP multi-model ensembles perform reconstruction?","Saito, K.;Sueyoshi, T.;et al","10.5194/cp-9-1697-2013","ark:/85065/d75m66k8","Climate of the Past","UCAR, University and Other"
"articles:12845","article","2013-07-22","CHIMERE 2013: A model for regional atmospheric composition modelling","Menut, L.;Bessagnet, B.;et al","10.5194/gmd-6-981-2013","ark:/85065/d71z459q","Geoscientific Model Development","UCAR, University and Other"
"articles:12846","article","2013-07-15","Bayesian parameter estimation and interpretation for an intermediate model of tree-ring width","Tolwinski-Ward, S.;Anchukaitis, K.;et al","10.5194/cp-9-1481-2013","ark:/85065/d7x63nvs","Climate of the Past","UCAR, University and Other"
"articles:12847","article","2013-07-03","Forecasts covering one month using a cut-cell model","Steppeler, J.;Park, S.;et al","10.5194/gmd-6-875-2013","ark:/85065/d7sf2x2k","Geoscientific Model Development","UCAR, University and Other"
"articles:12849","article","2013-04-18","Evaluation of ACCMIP outgoing longwave radiation from tropospheric ozone using TES satellite observations","Bowman, K.;Shindell, D.;et al","10.5194/acp-13-4057-2013","ark:/85065/d7hx1djm","Atmospheric Chemistry and Physics","UCAR, University and Other"
"articles:12852","article","2013-07-01","Evaluating the effect of the global ionospheric map on aiding retrieval of radio occultation electron density profiles","Yue, X.;Schreiner, W.;et al","10.1007/s10291-012-0281-9","ark:/85065/d74q7vvt","GPS Solutions","UCAR only"
"articles:12853","article","2013-05-27","The importance of time-varying forcing for QBO modulation of the atmospheric 11-year solar cycle signal","Matthes, K.;Kodera, K.;et al","10.1002/jgrd.50424","ark:/85065/d70z745b","Journal of Geophysical Research-Atmospheres","UCAR, University and Other"
"articles:12854","article","2013-05-27","Long-term ozone changes and associated climate impacts in CMIP5 simulations","Eyring, V.;Arblaster, J.;et al","10.1002/jgrd.50316","ark:/85065/d7w66mnh","Journal of Geophysical Research-Atmospheres","UCAR, University and Other"
"articles:12855","article","2013-09-01","The Community Earth System Model: A framework for collaborative research","Hurrell, J.;Holland, M.;et al","10.1175/BAMS-D-12-00121.1","ark:/85065/d7rf5vwb","Bulletin of the American Meteorological Society","UCAR, University and Other"
"articles:12856","article","2013-09-01","A MITgcm/DART ensemble analysis and prediction system with application to the Gulf of Mexico","Hoteit, I.;Hoar, T.;et al","10.1016/j.dynatmoce.2013.03.002","ark:/85065/d7mp544z","Dynamics of Atmospheres and Oceans","UCAR, University and Other"
"articles:12860","article","2013-08-16","Nighttime secondary ozone layer during major stratospheric sudden warmings in specified-dynamics WACCM","Tweedy, O.;Limpasuvan, V.;et al","10.1002/jgrd.50651","ark:/85065/d73r0trf","Journal of Geophysical Research-Atmospheres","UCAR, University and Other"
"articles:12863","article","2013-09-15","A decomposition of feedback contributions to Polar warming amplification","Taylor, P.;Cai, M.;et al","10.1175/JCLI-D-12-00696.1","ark:/85065/d7qf8tqh","Journal of Climate","UCAR, University and Other"
"articles:12864","article","2013-09-15","Externally forced and internally generated decadal climate variability associated with the interdecadal Pacific Oscillation","Meehl, G.;Hu, A.;et al","10.1175/JCLI-D-12-00548.1","ark:/85065/d7kp8311","Journal of Climate","UCAR and Other"
"articles:12865","article","2013-09-15","Twentieth-century oceanic carbon uptake and storage in CESM1(BGC)","Long, M.;Lindsay, K.;et al","10.1175/JCLI-D-12-00184.1","ark:/85065/d7fx7bbr","Journal of Climate","UCAR, University and Other"
"articles:12866","article","2013-10-01","Comparing simulations of rising flux tubes through the solar convection zone with observations of solar active regions: Constraining the dynamo field strength","Weber, M.;Fan, Y.;et al","10.1007/s11207-012-0093-7","ark:/85065/d7b8590m","Solar Physics","UCAR and University"
"articles:12867","article","2013-12-01","An unstructured-mesh atmospheric model for nonhydrostatic dynamics","Smolarkiewicz, P.;Szmelter, J.;et al","10.1016/j.jcp.2013.07.027","ark:/85065/d76h4j9b","Journal of Computational Physics","UCAR, University and Other"
"articles:12868","article","2013-09-01","Using economic and other performance measures to evaluate a municipal drought plan","Yates, D.;Vásquez Lavin, F.;et al","10.2166/wp.2013.204","ark:/85065/d72r3sj5","Water Policy","UCAR, University and Other"
"articles:12869","article","2013-09-02","Observations of gas- and aerosol-phase organic nitrates at BEACHON-RoMBAS 2011","Fry, J.;Draper, D.;et al","10.5194/acp-13-8585-2013","ark:/85065/d7z03914","Atmospheric Chemistry and Physics","UCAR, University and Other"
"articles:12872","article","2013-06-10","Megacity impacts on regional ozone formation: Observations and WRF-Chem modeling for the MIRAGE-Shanghai field campaign","Tie, X.;Geng, F.;et al","10.5194/acp-13-5655-2013","ark:/85065/d7js9r9k","Atmospheric Chemistry and Physics","UCAR, University and Other"
"articles:12873","article","2013-09-16","The impact of abrupt suspension of solar radiation management (termination effect) in experiment G2 of the Geoengineering Model Intercomparison Project (GeoMIP)","Jones, A.;Haywood, J.;et al","10.1002/jgrd.50762","ark:/85065/d7f190m0","Journal of Geophysical Research-Atmospheres","UCAR, University and Other"
"articles:12875","article","2013-10-01","Impact of assimilating IASI radiance observations on forecasts of two tropical cyclones","Xu, D.;Liu, Z.;et al","10.1007/s00703-013-0276-2","ark:/85065/d75h7h5z","Meteorology and Atmospheric Physics","UCAR and University"
"articles:12876","article","2013-09-15","Applications of proxy system modeling in high resolution paleoclimatology","Evans, M.;Tolwinski-Ward, S.;et al","10.1016/j.quascirev.2013.05.024","ark:/85065/d71r6rds","Quaternary Science Reviews","UCAR, University and Other"
"articles:12879","article","2013-04-14","Mitigation of short-lived climate pollutants slows sea-level rise","Hu, A.;Xu, Y.;et al","10.1038/nclimate1869","ark:/85065/d7nk3fw2","Nature Climate Change","UCAR, University and Other"
"articles:12881","article","2013-10-01","Emissions estimation from satellite retrievals: A review of current capability","Streets, D.;Canty, T.;et al","10.1016/j.atmosenv.2013.05.051","ark:/85065/d7d21zh7","Atmospheric Environment","UCAR, University and Other"
"articles:12883","article","2013-09-01","The effect of solar radio bursts on the GNSS radio occultation signals","Yue, X.;Schreiner, W.;et al","10.1002/jgra.50525","ark:/85065/d74j0g0p","Journal of Geophysical Research-Space Physics","UCAR, University and Other"
"articles:12884","article","2013-10-01","On the scaling of shear-driven entrainment: A DNS study","Jonker, H.;van Reeuwijk, M.;et al","10.1017/jfm.2013.394","ark:/85065/d70r9q8d","Journal of Fluid Mechanics","UCAR and University"
"articles:12885","article","2013-10-01","Climate change projections of the North American Regional Climate Change Assessment Program (NARCCAP)","Mearns, L.;Sain, S.;et al","10.1007/s10584-013-0831-3","ark:/85065/d7w096tv","Climatic Change","UCAR, University and Other"
"articles:12887","article","2013-10-16","A global model of meteoric sodium","Marsh, D.;Janches, D.;et al","10.1002/jgrd.50870","ark:/85065/d7mk6ds4","Journal of Geophysical Research-Atmospheres","UCAR, University and Other"
"articles:12889","article","2013-05-30","Influence of the El Niño Southern Oscillation on the middle and upper atmosphere","Pedatella, N.;Liu, H.","10.1002/jgra.50286","ark:/85065/d7c24x9z","Journal of Geophysical Research-Space Physics","UCAR only"
"articles:12890","article","2013-09-01","Lidar-observed stress vectors and veer in the atmospheric boundary layer","Berg, J.;Mann, J.;et al","10.1175/JTECH-D-12-00266.1","ark:/85065/d77945j5","Journal of Atmospheric and Oceanic Technology","UCAR and University"
"articles:12891","","2013-06-01","","no authors found","10.1002/jgrg.20017","ark:/85065/d73j3dtf","",""
"articles:12892","article","2013-08-27","Toward a comprehensive global electric circuit model: Atmospheric conductivity and its variability in CESM1(WACCM) model simulations","Baumgaertner, A.;Thayer, J.;et al","10.1002/jgrd.50725","ark:/85065/d7zs2xd2","Journal of Geophysical Research-Atmospheres","UCAR and University"
"articles:12893","article","2013-08-27","The lower thermosphere during the northern hemisphere winter of 2009: A modeling study using high-altitude data assimilation products in WACCM-X","Sassi, F.;Liu, H.;et al","10.1002/jgrd.50632","ark:/85065/d7v40w3c","Journal of Geophysical Research-Atmospheres","UCAR and Other"
"articles:12894","article","2013-08-01","Global evolution of Birkeland currents on 10 min timescales: MHD simulations and observations","Merkin, V.;Anderson, B.;et al","10.1002/jgra.50466","ark:/85065/d7qc04dg","Journal of Geophysical Research-Space Physics","UCAR and University"
"articles:12895","article","2013-05-10","Non-migrating tides in the ionosphere-thermosphere: In situ versus tropospheric sources","Jones, M.;Forbes, J.;et al","10.1002/jgra.50257","ark:/85065/d7kk9cp6","Journal of Geophysical Research-Space Physics","UCAR and University"
"articles:12898","article","2013-06-18","Long-term changes in solar quiet (Sq) geomagnetic variations related to Earth's magnetic field secular variation","de Haro Barbas, B.;Elias, A.;et al","10.1002/jgra.50352","ark:/85065/d76974f7","Journal of Geophysical Research-Space Physics","UCAR, University and Other"
"articles:12899","article","2013-08-01","The influence of atmospheric tide and planetary wave variability during sudden stratosphere warmings on the low latitude ionosphere","Pedatella, N.;Liu, H.","10.1002/jgra.50492","ark:/85065/d72j6crz","Journal of Geophysical Research-Space Physics","UCAR only"
"articles:12900","article","2013-05-21","Numerical modeling of the large-scale neutral and plasma responses to the body forces created by the dissipation of gravity waves from 6 h of deep convection in Brazil","Vadas, S.;Liu, H.","10.1002/jgra.50249","ark:/85065/d7xw4kp0","Journal of Geophysical Research-Space Physics","UCAR and Other"
"articles:12901","article","2013-05-10","Attribution of ionospheric vertical plasma drift perturbations to large-scale waves and the dependence on solar activity","Liu, H.;Richmond, A.","10.1002/jgra.50265","ark:/85065/d7t43v0f","Journal of Geophysical Research-Space Physics","UCAR only"
"articles:12902","article","2013-05-28","WINDII observations and TIME-GCM simulations of O(¹S) polar spirals during geomagnetic disturbances","Shepherd, G.;Roble, R.;et al","10.1002/jgra.50272","ark:/85065/d7pc3383","Journal of Geophysical Research-Space Physics","UCAR and University"
"articles:12903","article","2013-06-01","Forecasting net ecosystem CO₂ exchange in a subalpine forest using model data assimilation combined with simulated climate and weather generation","Scott-Denton, L.;Moore, D.;et al","10.1002/jgrg.20039","ark:/85065/d7jm2bhx","Journal of Geophysical Research-Biogeosciences","UCAR, University and Other"
"articles:12904","article","2013-06-27","Community-wide validation of geospace model ground magnetic field perturbation predictions to support model transition to operations","Pulkkinen, A.;Rastätter, L.;et al","10.1002/swe.20056","ark:/85065/d7dv1krr","Space Weather","UCAR, University and Other"
"articles:12905","article","2013-07-11","Global premature mortality due to anthropogenic outdoor air pollution and the contribution of past climate change","Silva, R.;West, J.;et al","10.1088/1748-9326/8/3/034005","ark:/85065/d7930v1r","Environmental Research Letters","UCAR, University and Other"
"articles:12906","article","2013-05-26","Modeling ionospheric super-fountain effect based on the coupled TIMEGCM-SAMI3","Lu, G.;Huba, J.;et al","10.1002/jgra.50256","ark:/85065/d75b03c9","Journal of Geophysical Research-Space Physics","UCAR and University"
"articles:12907","article","2013-07-23","Investigation of the interhemispheric asymmetry in reverse convection near solstice during northward interplanetary magnetic field conditions using MHD simulations","Wilder, F.;Eriksson, S.;et al","10.1002/jgra.50421","ark:/85065/d71n820v","Journal of Geophysical Research-Space Physics","UCAR and University"
"articles:12909","article","2013-09-11","Integrated impacts of future electricity mix scenarios on select southeastern US water resources","Yates, D.;Meldrum, J.;et al","10.1088/1748-9326/8/3/035042","ark:/85065/d7s46svn","Environmental Research Letters","UCAR, University and Other"
"articles:12910","article","2013-09-11","A water system model for exploring electric energy alternatives in southeastern US basins","Flores-Lopez, F.;Yates, D.","10.1088/1748-9326/8/3/035041","ark:/85065/d7nc6238","Environmental Research Letters","UCAR and Other"
"articles:12913","article","2013-06-16","Validation of ozone data from the Superconducting Submillimeter-Wave Limb-Emission Sounder (SMILES)","Imai, K.;Manago, N.;et al","10.1002/jgrd.50434","ark:/85065/d7833sxd","Journal of Geophysical Research-Atmospheres","UCAR, University and Other"
"articles:12914","article","2013-06-03","Wavenumber broadening of the quasi 2 day planetary wave in the ionosphere","Yue, J.;Wang, W.;et al","10.1002/jgra.50307","ark:/85065/d74f1rmd","Journal of Geophysical Research-Space Physics","UCAR and University"
"articles:12916","article","2013-05-09","Large-scale ionospheric disturbances due to the dissipation of convectively-generated gravity waves over Brazil","Liu, H.;Vadas, S.","10.1002/jgra.50244","ark:/85065/d7vx0hds","Journal of Geophysical Research-Space Physics","UCAR and Other"
"articles:12917","article","2013-10-01","Our limited ability to predict vegetation dynamics under water stress","Xu, C.;McDowell, N.;et al","10.1111/nph.12450","ark:/85065/d7r49rnc","New Phytologist","UCAR and Other"
"articles:12919","article","2013-10-01","Organizational modes of mesoscale convective systems over central east China","Zheng, L.;Sun, J.;et al","10.1175/WAF-D-12-00088.1","ark:/85065/d7gm886q","Weather and Forecasting","UCAR, University and Other"
"articles:12920","article","2013-10-01","Evaluating theories of drought-induced vegetation mortality using a multimodel-experiment framework","McDowell, N.;Fisher, R.;et al","10.1111/nph.12465","ark:/85065/d7bv7hjw","New Phytologist","UCAR, University and Other"
"articles:12922","article","2013-10-01","Probabilistic weather prediction with an analog ensemble","Delle Monache, L.;Eckel, F.;et al","10.1175/MWR-D-12-00281.1","ark:/85065/d73f4qjx","Monthly Weather Review","UCAR and Other"
"articles:12923","article","2013-10-01","A method for adaptive habit prediction in bulk microphysical models. Part III: Applications and studies within a two-dimensional kinematic model","Sulia, K.;Harrington, J.;et al","10.1175/JAS-D-12-0316.1","ark:/85065/d7zp4704","Journal of the Atmospheric Sciences","UCAR and University"
"articles:12924","article","2013-10-15","Regional energy and water cycles: Transports from ocean to land","Trenberth, K.;Fasullo, J.","10.1175/JCLI-D-13-00008.1","ark:/85065/d7tx3g7z","Journal of Climate","UCAR only"
"articles:12927","article","2013-10-15","Greenland surface mass balance as simulated by the Community Earth System Model. Part I: Model evaluation and 1850-2005 results","Vizcaíno, M.;Lipscomb, W.;et al","10.1175/JCLI-D-12-00615.1","ark:/85065/d7fn173b","Journal of Climate","UCAR, University and Other"
"articles:12928","article","2013-10-15","Linearity of climate response to increases in black carbon aerosols","Mahajan, S.;Evans, K.;et al","10.1175/JCLI-D-12-00715.1","ark:/85065/d79z95sc","Journal of Climate","UCAR, University and Other"
"articles:12930","article","2013-06-01","Development of the upgraded tangent linear and adjoint of the weather research and forecasting (WRF) Model","Zhang, X.;Huang, X.;et al","10.1175/JTECH-D-12-00213.1","ark:/85065/d72f7pbn","Journal of Atmospheric and Oceanic Technology","UCAR and Other"
"articles:12931","article","2014-05-01","Towards a high-resolution climatography of seasonal precipitation over Israel","Rostkier-Edelstein, D.;Liu, Y.;et al","10.1002/joc.3814","ark:/85065/d7xp75tw","International Journal of Climatology","UCAR, University and Other"
"articles:12932","article","2013-11-01","Analysis of the surface temperature and wind forecast errors of the NCAR-AirDat operational CONUS 4-km WRF forecasting system","Wyszogrodzki, A.;Liu, Y.;et al","10.1007/s00703-013-0281-5","ark:/85065/d7sx6f3k","Meteorology and Atmospheric Physics","UCAR, University and Other"
