Timestamp,id,Url,TypeOFF,Name,GenusSpecies,OrganismType,WhereSeen,HowMany,InteractionsOFF,AbioticFactors,Description,Role,Tags,PhotoDate,PhotoTime,LatLong,Period,Group,,,,,,,,,,,,,,,,
Hidden,Hidden,Hidden,Hidden,stringFilter,,csvFilter,,,Hidden,csvFilter,,csvFilter,csvFilter,dateFilter,timeFilter,,Hidden,"Hidden, cvsFilter",,,,,,,,,,,,,,,,
DATE_TIME,,TEXT,,,,,PARAGRAPH_TEXT,NUMBER,,LIST,PARAGRAPH_TEXT,,LIST,DATE,TIME,,,,,,,,,,,,,,,,,,,
Prompt,,,,Organism Observed,,,Where the organism was seen or found,How many were seen or found?,What interactions did you see with this organism and other organisms?,What abiotic factors affect this organism or does it affect?,Write a description of the organisms’ physical traits,What role does this organism play in the ecosystem?,,,,,,,,,,,,,,,,,,,,,,
,1423249626452,http://googledrive.com/host/0B_VZVJ-NNruJd1FXUm9TWjRTWkE/IMG_0445.JPG,IMG_0445.JPG,Elks_test,elkus-magnificus,other insects,The Northwest corner of Central Park. Just by the lake near the old pine tree that got infested with pine beetle. you know what i'm talking about,99,"RedRocks Deer1,Berrian Elk2",,"From the sound of his bugle, he's heading our way...",- carnivore,"ungulate,elk,foo",7/20/1968,8:02AM,"36.106965, -112.11299700000001",,MyGroup,,,,,,,,,,,,,,,,
,1423249652379,http://googledrive.com/host/0B_VZVJ-NNruJd1FXUm9TWjRTWkE/RedRocks Deer1.JPG,RedRocks Deer1.JPG,RedRocks Deer1,Deerus-commonus,mammal,Red rocks,1,"Camp Rollandet RedFox2,Bear ValleyCoyote (8)","temperature,water","Bouncy, big-eared icons of the American West, deer are declining rapidly across Colorado and other states — forcing difficult decisions.",consumer,"ungulate,elk",10/31/2020,12:04AM,"39.665563,-105.205092",,Group 3,,,,,,,,,,,,,,,,
,1423249652449,http://googledrive.com/host/0B_VZVJ-NNruJd1FXUm9TWjRTWkE/BearValley Coyote (7).JPG,BearValley Coyote (7).JPG,BearValley Coyote (7),hmmm,other insects,east texas,,"BearValley Coyote (7),RedRocks Deer3 (1),Camp Rollandet RedFox2,Berrian Meadow RedFox2,Bear ValleyCoyote (8),BellPark Deer2,Bear Valley Raccoon,Camp Rollandet RedFox1,Berrian Meadow Elk2",,,producer,canine,8/22/1963,12:06AM,"40.74844, -73.98566399999999",,,,,,,,,,,,,,,,,,
,1423249652527,http://googledrive.com/host/0B_VZVJ-NNruJd1FXUm9TWjRTWkE/Berrian Elk2.JPG,Berrian Elk2.JPG,Berrian Elk2,,mammal,,9,,sunlight,Whole bunch of elk milling about,,"ungulate,elk",4/19/2016,2:01PM,"40.079764, -105.179529",,,,,,,,,,,,,,,,,,
,1423249652733,http://googledrive.com/host/0B_VZVJ-NNruJd1FXUm9TWjRTWkE/Camp Rollandet skunk.JPG,Camp Rollandet skunk.JPG,Skunk,,,Camp Rollandet,,,,,,,,,"43.477147, -112.04433899999998",,,,,,,,,,,,,,,,,,
,1423249652793,http://googledrive.com/host/0B_VZVJ-NNruJd1FXUm9TWjRTWkE/Berrian Meadow RedFox2.JPG,Berrian Meadow RedFox2.JPG,Red Fox,,mammal,Barrian Meadow,,,,,,canine,,,"39.5355309, -105.30821029999998",,,,,,,,,,,,,,,,,,
,1423249653111,http://googledrive.com/host/0B_VZVJ-NNruJd1FXUm9TWjRTWkE/Cougar at Little park.JPG,Cougar at Little park.JPG,Cougar,,,LIttle Park,,,,wow! where is little park?,,feline,,,"39.655946, -105.245811",,,,,,,,,,,,,,,,,,
,1423249653791,http://googledrive.com/host/0B_VZVJ-NNruJd1FXUm9TWjRTWkE/Bear Valley Raccoon.JPG,Bear Valley Raccoon.JPG,Bear Valley Raccoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1423249653864,http://googledrive.com/host/0B_VZVJ-NNruJd1FXUm9TWjRTWkE/Little Park east Bear1.JPG,Little Park east Bear1.JPG,Bear,,,Little Park East,,,,,,,,,"39.655946, -105.245811",,,,,,,,,,,,,,,,,,
,1423249654247,http://googledrive.com/host/0B_VZVJ-NNruJd1FXUm9TWjRTWkE/Camp Rollandet Squirrel.JPG,Camp Rollandet Squirrel.JPG,Squirrel,,,Camp Rollandet,,,,,,,,,"43.477147, -112.044338999",,,,,,,,,,,,,,,,,,
,1423249654329,http://googledrive.com/host/0B_VZVJ-NNruJd1FXUm9TWjRTWkE/BearValley raccoons.JPG,BearValley raccoons.JPG,BearValley raccoons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1423249654388,http://googledrive.com/host/0B_VZVJ-NNruJd1FXUm9TWjRTWkE/Camp Rollandet RedFox1.JPG,Camp Rollandet RedFox1.JPG,Camp Rollandet RedFox1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1423249654471,http://googledrive.com/host/0B_VZVJ-NNruJd1FXUm9TWjRTWkE/Bear Valley Coyote (2).JPG,Bear Valley Coyote (2).JPG,Bear Valley Coyote,,,,,,,,,,,
,1423249654962,http://googledrive.com/host/0B_VZVJ-NNruJd1FXUm9TWjRTWkE/Echo Lake Bobcat.JPG,Echo Lake Bobcat.JPG,Bobcat,,,Echo Lake,,,,,,,,
,1423249655024,http://googledrive.com/host/0B_VZVJ-NNruJd1FXUm9TWjRTWkE/BearValley Raccoon (2).JPG,BearValley Raccoon (2).JPG,Raccoon,,,BearValle,,,,,,,,
,1423249655107,http://googledrive.com/host/0B_VZVJ-NNruJd1FXUm9TWjRTWkE/Berrian RedFox4.JPG,Berrian RedFox4.JPG,RedFox4,,,Berrian,,,,,,,,
,1423249655188,http://googledrive.com/host/0B_VZVJ-NNruJd1FXUm9TWjRTWkE/Camp Rollandet Flicker.JPG,Camp Rollandet Flicker.JPG,Camp Rollandet Flicker,,,,,,,,,,,
,1423249655266,http://googledrive.com/host/0B_VZVJ-NNruJd1FXUm9TWjRTWkE/Bear Valley Coyote (8).JPG,Bear Valley Coyote (8).JPG,Coyote (8),,,Bear Valley,,,,,,,,
,1423249655668,http://googledrive.com/host/0B_VZVJ-NNruJd1FXUm9TWjRTWkE/Bear Valley Canada Goose.JPG,Bear Valley Canada Goose.JPG,Canada Goose,,,Bear Valley,,,,,,,,
,1423249655753,http://googledrive.com/host/0B_VZVJ-NNruJd1FXUm9TWjRTWkE/Bear Valley Blue Heron3.JPG,Bear Valley Blue Heron3.JPG,Blue Heron3,,,Bear Valley,,,,,,bird,,
,1423249655834,http://googledrive.com/host/0B_VZVJ-NNruJd1FXUm9TWjRTWkE/Bear Valley Beaver2.JPG,Bear Valley Beaver2.JPG,Beaver2,,,Bear Valley,,,,,,,,
,1423249656073,http://googledrive.com/host/0B_VZVJ-NNruJd1FXUm9TWjRTWkE/Rollandet Flicker2.JPG,Rollandet Flicker2.JPG,Flicker,,,Rollandet,,,,,,,,
,1423249656492,http://googledrive.com/host/0B_VZVJ-NNruJd1FXUm9TWjRTWkE/Rollandet Robin.JPG,Rollandet Robin.JPG,Rollandet Robin,,,Rollandet,,,,,,bird,,
,1423249656734,http://googledrive.com/host/0B_VZVJ-NNruJd1FXUm9TWjRTWkE/Bear Valley Blue Heron1.JPG,Bear Valley Blue Heron1.JPG,Blue Heron1,,,Bear Valley,,,,,,bird,2/5/2013,2:55PM
,1423249656812,http://googledrive.com/host/0B_VZVJ-NNruJd1FXUm9TWjRTWkE/bullsnake.JPG,bullsnake.JPG,bullsnake,,,,,,,,,"reptile, snake",,
